get number of reservations of customer 1,2019-05-06 22:15:09.144
search customer RaD,2019-05-06 22:15:09.144
get random pizza,2019-05-06 22:17:58.238
list pizzas,2019-05-06 22:17:58.253
list customers,2019-05-06 22:17:58.253
add reservation,2019-05-06 22:17:58.269
list reservations,2019-05-06 22:17:58.285
pizza exists by name,2019-05-06 22:17:58.3
get number of reservations of customer 1,2019-05-06 22:17:58.316
search customer RaD,2019-05-06 22:17:58.316
list tables,2019-05-06 22:17:58.316
get random table,2019-05-06 22:17:58.316
get random pizza,2019-05-06 22:19:35.937
list pizzas,2019-05-06 22:19:35.952
list customers,2019-05-06 22:19:35.952
add reservation,2019-05-06 22:19:35.968
list reservations,2019-05-06 22:19:35.984
pizza exists by name,2019-05-06 22:19:36.015
get number of reservations of customer 1,2019-05-06 22:19:36.015
search customer RaD,2019-05-06 22:19:36.015
list tables,2019-05-06 22:19:36.015
get random table,2019-05-06 22:19:36.015
